system;region;route;banner;abbrev;city;fileroot;AltRouteNames;=
usaky4;KY;KY1500;;;;ky.ky1500;;
usaky4;KY;KY1501;;;;ky.ky1501;;
usaky4;KY;KY1502;;;;ky.ky1502;;signed
usaky4;KY;KY1503;;;;ky.ky1503;;signed
usaky4;KY;KY1504;;;;ky.ky1504;;
usaky4;KY;KY1505;;;;ky.ky1505;;signed
usaky4;KY;KY1507;;;;ky.ky1507;;signed
usaky4;KY;KY1508;;;;ky.ky1508;;
usaky4;KY;KY1510;;;;ky.ky1510;;
usaky4;KY;KY1511;;;;ky.ky1511;;signed
usaky4;KY;KY1513;;;;ky.ky1513;;signed
usaky4;KY;KY1514;;;;ky.ky1514;;signed
usaky4;KY;KY1515;;;;ky.ky1515;;
usaky4;KY;KY1516;;;;ky.ky1516;;signed
usaky4;KY;KY1517;;;;ky.ky1517;;
usaky4;KY;KY1518;;;;ky.ky1518;;signed
usaky4;KY;KY1519;;;;ky.ky1519;;
usaky4;KY;KY1520;;;;ky.ky1520;;signed
usaky4;KY;KY1522;;;;ky.ky1522;;
usaky4;KY;KY1523;;;;ky.ky1523;;
usaky4;KY;KY1524;;;;ky.ky1524;;
usaky4;KY;KY1525;;;;ky.ky1525;;
usaky4;KY;KY1526;;;;ky.ky1526;;signed
usaky4;KY;KY1527;;;;ky.ky1527;;
usaky4;KY;KY1529;;;;ky.ky1529;;signed
usaky4;KY;KY1530;;;;ky.ky1530;;signed
usaky4;KY;KY1531;;;;ky.ky1531;;signed
usaky4;KY;KY1533;;;;ky.ky1533;;signed
usaky4;KY;KY1534;;;;ky.ky1534;;signed
usaky4;KY;KY1535;;;;ky.ky1535;;
usaky4;KY;KY1536;;;;ky.ky1536;;
usaky4;KY;KY1538;;;;ky.ky1538;;signed
usaky4;KY;KY1539;;;;ky.ky1539;;signed
usaky4;KY;KY1540;;;;ky.ky1540;;signed
usaky4;KY;KY1541;;;;ky.ky1541;;signed
usaky4;KY;KY1543;;;;ky.ky1543;;
usaky4;KY;KY1544;;;;ky.ky1544;;signed
usaky4;KY;KY1545;;;;ky.ky1545;;
usaky4;KY;KY1546;;;;ky.ky1546;;signed
usaky4;KY;KY1547;;;;ky.ky1547;;signed
usaky4;KY;KY1549;;;;ky.ky1549;;signed
usaky4;KY;KY1550;;;;ky.ky1550;;signed
usaky4;KY;KY1551;;;;ky.ky1551;;signed
usaky4;KY;KY1552;;;;ky.ky1552;;signed
usaky4;KY;KY1553;;;;ky.ky1553;;signed
usaky4;KY;KY1554;;;;ky.ky1554;;signed
usaky4;KY;KY1555;;;;ky.ky1555;;signed
usaky4;KY;KY1556;;;;ky.ky1556;;signed
usaky4;KY;KY1557;;;;ky.ky1557;;signed
usaky4;KY;KY1558;;;;ky.ky1558;;signed
usaky4;KY;KY1559;;;;ky.ky1559;;signed
usaky4;KY;KY1561;;;;ky.ky1561;;signed
usaky4;KY;KY1563;;;;ky.ky1563;;signed
usaky4;KY;KY1564;;;;ky.ky1564;;signed
usaky4;KY;KY1565;;;;ky.ky1565;;signed
usaky4;KY;KY1566;;;;ky.ky1566;;signed
usaky4;KY;KY1567;;;;ky.ky1567;;signed
usaky4;KY;KY1568;;;;ky.ky1568;;signed
usaky4;KY;KY1569;;;;ky.ky1569;;signed
usaky4;KY;KY1570;;;;ky.ky1570;;
usaky4;KY;KY1571;;;;ky.ky1571;;
usaky4;KY;KY1572;;;;ky.ky1572;;
usaky4;KY;KY1573;;;;ky.ky1573;;
usaky4;KY;KY1575;;;;ky.ky1575;;signed
usaky4;KY;KY1576;;;;ky.ky1576;;signed
usaky4;KY;KY1577;;;;ky.ky1577;;signed
usaky4;KY;KY1578;;;;ky.ky1578;;signed
usaky4;KY;KY1579;;;;ky.ky1579;;signed
usaky4;KY;KY1580;;;;ky.ky1580;;signed
usaky4;KY;KY1583;;;;ky.ky1583;;signed
usaky4;KY;KY1584;;;;ky.ky1584;;
usaky4;KY;KY1585;;;;ky.ky1585;;
usaky4;KY;KY1586;;;;ky.ky1586;;
usaky4;KY;KY1587;;;;ky.ky1587;;signed
usaky4;KY;KY1588;;;;ky.ky1588;;signed
usaky4;KY;KY1589;;;;ky.ky1589;;signed
usaky4;KY;KY1590;;;;ky.ky1590;;signed
usaky4;KY;KY1591;;;;ky.ky1591;;signed
usaky4;KY;KY1592;;;;ky.ky1592;;
usaky4;KY;KY1593;;;;ky.ky1593;;
usaky4;KY;KY1594;;;;ky.ky1594;;signed
usaky4;KY;KY1595;;;;ky.ky1595;;
usaky4;KY;KY1596;;;;ky.ky1596;;
usaky4;KY;KY1597;;;;ky.ky1597;;
usaky4;KY;KY1598;;;;ky.ky1598;;
usaky4;KY;KY1599;;;;ky.ky1599;;
usaky4;KY;KY1600;;;;ky.ky1600;;signed
usaky4;KY;KY1601;;;;ky.ky1601;;
usaky4;KY;KY1602;;;;ky.ky1602;;signed
usaky4;KY;KY1603;;;;ky.ky1603;;signed
usaky4;KY;KY1604;;;;ky.ky1604;;
usaky4;KY;KY1605;;;;ky.ky1605;;
usaky4;KY;KY1606;;;;ky.ky1606;;signed
usaky4;KY;KY1607;;;;ky.ky1607;;
usaky4;KY;KY1608;;;;ky.ky1608;;signed
usaky4;KY;KY1609;;;;ky.ky1609;;signed
usaky4;KY;KY1610;;;;ky.ky1610;;
usaky4;KY;KY1611;;;;ky.ky1611;;
usaky4;KY;KY1612;;;;ky.ky1612;;
usaky4;KY;KY1614;;;;ky.ky1614;;signed
usaky4;KY;KY1615;;;;ky.ky1615;;signed
usaky4;KY;KY1616;;;;ky.ky1616;;
usaky4;KY;KY1617;;;;ky.ky1617;;
usaky4;KY;KY1618;;;;ky.ky1618;;
usaky4;KY;KY1619;;;;ky.ky1619;;
usaky4;KY;KY1620;;;;ky.ky1620;;
usaky4;KY;KY1621;;;;ky.ky1621;;
usaky4;KY;KY1622;;;;ky.ky1622;;signed
usaky4;KY;KY1623;;;;ky.ky1623;;
usaky4;KY;KY1624;;;;ky.ky1624;;
usaky4;KY;KY1625;;;;ky.ky1625;;
usaky4;KY;KY1626;;;;ky.ky1626;;
usaky4;KY;KY1627;;;;ky.ky1627;;
usaky4;KY;KY1628;;;;ky.ky1628;;
usaky4;KY;KY1629;;;;ky.ky1629;;signed
