region_code;region_name;country_code;country_name;continent_code;continent_name
AB;Alberta;CAN;Canada;NA;North America
ABW;Aruba;NLD;Netherlands;NA;North America
AFG;Afghanistan;AFG;Afghanistan;ASI;Asia
AGO;Angola;AGO;Angola;AFR;Africa
AIA;Anguilla;GBR;United Kingdom;NA;North America
AK;Alaska;USA;United States of America;NA;North America
AL;Alabama;USA;United States of America;NA;North America
ALA;Åland Islands;FIN;Finland;EUR;Europe
ALB;Albania;ALB;Albania;EUR;Europe
AND;Andorra;AND;Andorra;EUR;Europe
AR;Arkansas;USA;United States of America;NA;North America
ARE;United Arab Emirates;ARE;United Arab Emirates;ASI;Asia
ARG;Argentina;ARG;Argentina;SA;South America
ARM;Armenia;ARM;Armenia;ASI;Asia
AS;American Samoa;USA;United States of America;OCE;Oceania
ATA;Antarctica;ATA;Antarctica;ATA;Antarctica
ATF;French Southern Territories;FRA;France;ATA;Antarctica
ATG;Antigua and Barbuda;ATG;Antigua and Barbuda;NA;North America
AUS-ACT;Australian Capital Territory;AUS;Australia;OCE;Oceania
AUS-NT;Northern Territory;AUS;Australia;OCE;Oceania
AUS-NSW;New South Wales;AUS;Australia;OCE;Oceania
AUS-QLD;Queensland;AUS;Australia;OCE;Oceania
AUS-SA;Southern Australia;AUS;Australia;OCE;Oceania
AUS-TAS;Tasmania;AUS;Australia;OCE;Oceania
AUS-VIC;Victoria;AUS;Australia;OCE;Oceania
AUS-WA;Western Australia;AUS;Australia;OCE;Oceania
AUT;Austria;AUT;Austria;EUR;Europe
AZ;Arizona;USA;United States of America;NA;North America
AZE;Azerbaijan;AZE;Azerbaijan;ASI;Asia
BC;British Columbia;CAN;Canada;NA;North America
BDI;Burundi;BDI;Burundi;AFR;Africa
BEL;Belgium;BEL;Belgium;EUR;Europe
BEN;Benin;BEN;Benin;AFR;Africa
BES;Bonaire, Sint Eustatius and Saba;NLD;Netherlands;NA;North America
BFA;Burkina Faso;BFA;Burkina Faso;AFR;Africa
BGD;Bangladesh;BGD;Bangladesh;ASI;Asia
BGR;Bulgaria;BGR;Bulgaria;EUR;Europe
BHR;Bahrain;BHR;Bahrain;ASI;Asia
BHS;Bahamas;BHS;Bahamas;NA;North America
BIH;Bosnia and Herzegovina;BIH;Bosnia and Herzegovina;EUR;Europe
BLM;Saint Barthélemy;FRA;France;NA;North America
BLR;Belarus;BLR;Belarus;EUR;Europe
BLZ;Belize;BLZ;Belize;NA;North America
BMU;Bermuda;GBR;United Kingdom;NA;North America
