CAN;AB;Alberta
CAN;BC;British Columbia
CAN;MB;Manitoba
CAN;NB;New Brunswick
CAN;NL;Newfoundland and Labrador
CAN;NS;Nova Scotia
CAN;NT;Northwest Territories
CAN;NU;Nunavut
CAN;ON;Ontario
CAN;PE;Prince Edward Island
CAN;QC;Québec
CAN;SK;Saskatchewan
CAN;YT;Yukon
FRA;FRA;France
FRA;MTQ;Martinique
GBR;ENG;England
GBR;NIR;Northern Ireland
GBR;SCT;Scotland
GBR;WLS;Wales
MEX;MEX-AGS;Aguascalientes
MEX;MEX-BC;Baja California
MEX;MEX-BCS;Baja California Sur
MEX;MEX-CAM;Campeche
MEX;MEX-CHIH;Chihuahua
MEX;MEX-CHIS;Chiapas
MEX;MEX-COAH;Coahuila
MEX;MEX-COL;Colima
MEX;MEX-DF;Distrito Federal
MEX;MEX-DGO;Durango
MEX;MEX-EMEX;México
MEX;MEX-GRO;Guerrero
MEX;MEX-GTO;Guanajuato
MEX;MEX-HGO;Hidalgo
MEX;MEX-JAL;Jalisco
MEX;MEX-MICH;Michoacán
MEX;MEX-MOR;Morelos
MEX;MEX-NAY;Nayarit
MEX;MEX-NL;Nuevo León
MEX;MEX-OAX;Oaxaca
MEX;MEX-PUE;Puebla
MEX;MEX-QRO;Querétaro
MEX;MEX-QROO;Quintana Roo
MEX;MEX-SIN;Sinaloa
MEX;MEX-SLP;San Luis Potosí
MEX;MEX-SON;Sonora
MEX;MEX-TAB;Tabasco
MEX;MEX-TAM;Tamaulipas
MEX;MEX-TLAX;Tlaxcala
MEX;MEX-VER;Veracruz
MEX;MEX-YUC;Yucatán
MEX;MEX-ZAC;Zacatecas
RUS;RUS-AD;Adygeja 
RUS;RUS-AL;Altaj
RUS;RUS-AL;Gorno-Altaj
RUS;RUS-ALT;N/A
RUS;RUS-AMU;Amur
RUS;RUS-ARK;Arhangelsk
RUS;RUS-AST;Astrahan 
RUS;RUS-BA;Baškortostan 
RUS;RUS-BEL;Belgorod 
RUS;RUS-BRY;Brjansk
RUS;RUS-BU;Burjatija
RUS;RUS-CE;Čečenija
RUS;RUS-CHE;Čeljabinsk 
RUS;RUS-CHU;Čukotka
RUS;RUS-CU;Čuvašija
RUS;RUS-DA;Dagestan 
RUS;RUS-IN;Ingušetija
RUS;RUS-IRK;Irkutsk
RUS;RUS-IVA;Ivanovo
RUS;RUS-KAM;Kamčatka
RUS;RUS-KAM;Evenkija
