#	Route	Lengte	Voormalige nummers
	KZ01-01	Bypass van Astana	86 km	M36, ?
	KZ02-01	Greater Almaty Ring Road (BAKAD)	66 km	nieuwe weg
	KZ04-01	Aktobe – grens met Rusland (Alimbet checkpoint)	121 km	A25
	KZ04-02	Kandyagash – Emba – Shalkar – Yrgyz	401 km	A26
	KZ05-01	Baiseyt – Kokpek – Chundzha – Koktal	160 km	A6, A5, ?
	KZ05-04	Almaty – Shamalgan – Uzynagash – Akkainar – Suranshy Batyr – Kastek	115 km	A4
	KZ05-05	Aksai – Chundzha – Kolzhat – grens met China (Kolzhat checkpoint)	160 km	KB56, A5
	KZ05-06	Kokpek – Kegen – grens met Kyrgyzstan (Tyup) (bypass van Kegen Pass)	115 km	A6
	KZ07-01	Oral – grens met Rusland (Shagan)	28 km	A32
	KZ07-02	Chapaevo – Zhalpaktal – Kaztalovka – grens met Rusland	213 km	A31
	KZ07-04	Podstepnoye – Fedorovka – grens met Rusland (Aksai)	72 km	A30
	KZ07-06	Oral – Taskala – grens met Rusland (Taskala)	100 km	A29
	KZ08-01	Taraz – Utmek – grens met Kyrgyzstan (Aisha Bibi)	14 km	A14
	KZ08-04	Merke – Shu – Burylbaital	261 km	R29
	KZ08-06	Oostelijke toegang naar de grens met Kyrgyzstan (Kordai)	6 km	M39
	KZ08-07	Westelijke toegang naar de grens met Kyrgyzstan (Sypatai Batyr)	24 km	M39
	KZ09-02	toegang tot Karaganda city	7 km	M36?
	KZ10-01	Denisovka – Zhitikara – Myuktikol – grens met Rusland (Kondybai)	137 km	A23
	KZ12-01	Aktau – Kuryk	59 km	A35
	KZ12-02	Beineu – Akzhigit – grens met Uzbekistan (Tazhen)	85 km	R1
	KZ12-03	Zhetybay – Zhanaozen – grens met Turkmenistan (Temirbaba)	229 km	A34
	KZ12-04	Kuryk – Zhetybay	64 km	A36
	KZ13-01	Zhizak – Gagarin – Zhetysai – Kirovskiy – Kyzylasker – Saryagash – Abai – Zhibek Zholy	221 km	A15
	KZ13-03	Shymkent – grens met Uzbekistan (Zhibek Zholy)	98 km	A2
	KZ14-01	Pavlodar – Sharbakty – grens met Rusland (Sharbakty)	112 km	A18
	KZ15-01	Petropavl – Sokolovka – grens met Rusland (Kyzyl Zhar)	62 km	A12
	KZ15-10	grens met Rusland (Karakoga checkpoint) – Petropavl	120 km	M51
	KZ16-02	Oskemen – Ridder – grens met Russia	167 km	A9
	KZ17-01	Noordelijke bypass van Shymkent	37 km	R32
	KZ18-02	Semey – grens met Rusland (Auil)	111 km	A11
	KZ18-03	Taskesken – Bakhty – grens met China (Bakhty)	187 km	A8
	KZ19-01	Saryozek – Koktal (bypass van Saryozek station)	192 km	R20
	KZ19-02	Usharal – Dostyk – grens met China (Dostyk)	184 km	A7






KZ03-01	Astana – Korgalzhyn (toegang Korgalzhyn natuurpark)	161 km	R2
KZ03-02	Makinsk – Aksu – Torgai	240 km	R6
KZ03-03	Roads of the Borovoe Resort Area	66 km	R7, R46
KZ03-04	Shchuchinsk – Zerenda	77 km	R8
KZ03-05	toegang tot Vyacheslav Reservoir	17 km	R9
KZ03-06	Kokshetau – Atbasar	184 km	R12
KZ03-07	Bypass van Kokshetau	18 km	R11
KZ03-08	toegang tot Kabambay Batyr Memorial Complex	4 km	KT-65
KZ03-09	toegang tot Shchuchinsk–Borovoe Resort Entertainment Area	9 km	R46
KZ03-10	toegang tot de weg Novy Koluton – Akkol – Minskoye	5 km	R52?
